Date : 2025-07-31 17:25:34
Directory : /home/william/Scality/arsenal/lib
Total : 236 files,  35970 codes, 11380 comments, 3651 blanks, all 51001 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        153 |     23,521 |      9,152 |      2,533 |     35,206 |
| JavaScript         |         69 |      8,921 |      2,210 |        891 |     12,022 |
| JSON               |          6 |      2,611 |          0 |          5 |      2,616 |
| Markdown           |          7 |        776 |          0 |        221 |        997 |
| JSON with Comments |          1 |        141 |         18 |          1 |        160 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |        236 |     35,970 |     11,380 |      3,651 |     51,001 |
| . (Files)                                                                                  |         10 |        462 |        329 |         54 |        845 |
| algos                                                                                      |         19 |      2,433 |      1,142 |        365 |      3,940 |
| algos/cache                                                                                |          3 |        421 |        417 |         59 |        897 |
| algos/heap                                                                                 |          1 |         98 |          0 |         27 |        125 |
| algos/list                                                                                 |         12 |      1,708 |        715 |        248 |      2,671 |
| algos/set                                                                                  |          2 |        118 |          3 |         19 |        140 |
| algos/stream                                                                               |          1 |         88 |          7 |         12 |        107 |
| auth                                                                                       |         29 |      2,523 |        798 |        259 |      3,580 |
| auth (Files)                                                                               |          3 |        634 |        219 |         45 |        898 |
| auth/backends                                                                              |          8 |        747 |        235 |         90 |      1,072 |
| auth/backends (Files)                                                                      |          2 |        257 |         96 |         35 |        388 |
| auth/backends/in_memory                                                                    |          6 |        490 |        139 |         55 |        684 |
| auth/v2                                                                                    |          8 |        316 |         90 |         46 |        452 |
| auth/v4                                                                                    |         10 |        826 |        254 |         78 |      1,158 |
| auth/v4 (Files)                                                                            |          8 |        585 |        158 |         63 |        806 |
| auth/v4/streamingV4                                                                        |          2 |        241 |         96 |         15 |        352 |
| clustering                                                                                 |          1 |        393 |        137 |         42 |        572 |
| errors                                                                                     |          3 |      1,061 |        109 |        234 |      1,404 |
| executables                                                                                |          6 |        145 |          0 |         23 |        168 |
| executables/pensieveCreds                                                                  |          6 |        145 |          0 |         23 |        168 |
| executables/pensieveCreds (Files)                                                          |          4 |        103 |          0 |         18 |        121 |
| executables/pensieveCreds/tests                                                            |          2 |         42 |          0 |          5 |         47 |
| executables/pensieveCreds/tests (Files)                                                    |          1 |          7 |          0 |          0 |          7 |
| executables/pensieveCreds/tests/unit                                                       |          1 |         35 |          0 |          5 |         40 |
| https                                                                                      |          3 |         37 |         31 |          4 |         72 |
| metrics                                                                                    |          5 |        407 |        247 |         71 |        725 |
| models                                                                                     |         18 |      4,476 |      2,220 |        483 |      7,179 |
| network                                                                                    |         30 |      5,206 |      1,479 |        549 |      7,234 |
| network (Files)                                                                            |          4 |        322 |        103 |         49 |        474 |
| network/http                                                                               |          2 |        331 |        225 |         37 |        593 |
| network/kmip                                                                               |         12 |      2,723 |        454 |        231 |      3,408 |
| network/kmip (Files)                                                                       |          8 |      1,817 |        382 |        128 |      2,327 |
| network/kmip/codec                                                                         |          2 |        709 |         12 |         87 |        808 |
| network/kmip/transport                                                                     |          2 |        197 |         60 |         16 |        273 |
| network/kmsAWS                                                                             |          2 |        291 |         70 |         53 |        414 |
| network/probe                                                                              |          3 |        158 |         50 |         29 |        237 |
| network/rest                                                                               |          3 |        475 |        146 |         42 |        663 |
| network/rpc                                                                                |          4 |        906 |        431 |        108 |      1,445 |
| patches                                                                                    |          1 |        204 |          0 |          8 |        212 |
| policy                                                                                     |          3 |      1,175 |         22 |         10 |      1,207 |
| policyEvaluator                                                                            |         10 |      1,530 |        717 |        110 |      2,357 |
| policyEvaluator (Files)                                                                    |          4 |        906 |        443 |         73 |      1,422 |
| policyEvaluator/utils                                                                      |          6 |        624 |        274 |         37 |        935 |
| s3middleware                                                                               |         19 |      1,654 |        503 |        180 |      2,337 |
| s3middleware (Files)                                                                       |         13 |        969 |        300 |        104 |      1,373 |
| s3middleware/azureHelpers                                                                  |          3 |        368 |        103 |         44 |        515 |
| s3middleware/lifecycleHelpers                                                              |          3 |        317 |        100 |         32 |        449 |
| s3routes                                                                                   |         10 |      1,703 |        422 |        136 |      2,261 |
| s3routes (Files)                                                                           |          3 |      1,142 |        375 |         95 |      1,612 |
| s3routes/routes                                                                            |          7 |        561 |         47 |         41 |        649 |
| storage                                                                                    |         59 |     11,474 |      2,433 |      1,005 |     14,912 |
| storage (Files)                                                                            |          1 |        107 |         12 |         16 |        135 |
| storage/data                                                                               |         32 |      5,504 |        866 |        379 |      6,749 |
| storage/data (Files)                                                                       |          3 |      1,295 |        199 |         74 |      1,568 |
| storage/data/external                                                                      |         24 |      3,790 |        487 |        256 |      4,533 |
| storage/data/external (Files)                                                              |          5 |      1,600 |        163 |        110 |      1,873 |
| storage/data/external/GCP                                                                  |         19 |      2,190 |        324 |        146 |      2,660 |
| storage/data/external/GCP (Files)                                                          |          7 |      1,657 |        199 |         99 |      1,955 |
| storage/data/external/GCP/GcpApis                                                          |         12 |        533 |        125 |         47 |        705 |
| storage/data/file                                                                          |          3 |        308 |        152 |         33 |        493 |
| storage/data/in_memory                                                                     |          1 |         96 |          8 |         12 |        116 |
| storage/data/utils                                                                         |          1 |         15 |         20 |          4 |         39 |
| storage/metadata                                                                           |         26 |      5,863 |      1,555 |        610 |      8,028 |
| storage/metadata (Files)                                                                   |          2 |        606 |         85 |         60 |        751 |
| storage/metadata/bucketclient                                                              |          2 |        253 |         75 |         33 |        361 |
| storage/metadata/file                                                                      |          4 |        812 |        235 |         81 |      1,128 |
